,Speed,Length,Geometry
0,40-50kt,0-100m,"LINESTRING (-122.38206 37.74708, -122.38202 37.74727, -122.38215 37.74717, -122.05913 37.69375, -122.07498 37.69078, -122.09087 37.69068, -122.10482 37.69537, -122.0541 37.69428, -122.067 37.69165, -122.0835 37.69068, -122.05492 37.69388, -122.05493 37.69388, -122.05493 37.69388, -122.07617 37.69077, -122.09227 37.69065, -122.10572 37.69635, -122.0541 37.69428, -122.067 37.69165, -122.08375 37.69068, -122.10005 37.69115, -122.11042 37.70115, -122.06048 37.69348, -122.0752 37.69078, -122.09112 37.69068, -122.10572 37.69635, -122.0541 37.69422, -122.06722 37.6916, -122.0835 37.69068, -122.0998 37.69105, -122.10973 37.70063, -122.05937 37.6937, -122.07378 37.69078, -122.09227 37.69065, -122.10555 37.69618, -122.0541 37.69428, -122.06678 37.69172, -122.08178 37.69072, -122.0998 37.69105, -122.10973 37.70063, -122.05913 37.69375, -122.07355 37.6908, -122.09087 37.69068, -122.10482 37.69537, -122.05427 37.6945, -122.06588 37.69198, -122.08202 37.6907, -122.09837 37.69063, -122.10905 37.70002, -122.05818 37.69383, -122.07378 37.69078, -122.08952 37.69068, -122.10405 37.69452, -122.05432 37.6945, -122.06478 37.69228, -122.07983 37.69072, -122.09837 37.69063, -122.1092 37.70013, -122.05818 37.69383, -122.07285 37.6908, -122.08977 37.69068, -122.10405 37.69452, -122.05437 37.69452, -122.06588 37.69198, -122.08105 37.69072, -122.09732 37.69048, -122.10905 37.70002, -122.05795 37.69385, -122.07262 37.69082, -122.08782 37.6907, -122.1039 37.69435, -122.05437 37.69452, -122.06567 37.69203, -122.08178 37.69072, -122.09732 37.69048, -122.1092 37.70013, -122.05818 37.69383, -122.07262 37.69082, -122.08805 37.6907, -122.1039 37.69435, -122.05438 37.69452, -122.06478 37.69228, -122.0808 37.69072, -122.09705 37.69047, -122.10845 37.69945, -122.05682 37.69388, -122.07147 37.69088, -122.08855 37.6907, -122.10318 37.69353, -122.05437 37.69452, -122.06478 37.69228, -122.07983 37.69072, -122.09565 37.6905, -122.10845 37.69945, -122.05593 37.69388, -122.07033 37.691, -122.08565 37.69068, -122.10362 37.69402, -122.05445 37.6945, -122.06362 37.69262, -122.07878 37.69073, -122.09627 37.69047, -122.10765 37.69858, -122.05565 37.69388, -122.07147 37.69088, -122.08697 37.6907, -122.10318 37.69353, -122.05457 37.69445, -122.065 37.69222, -122.07983 37.69072, -122.09565 37.6905, -122.10845 37.69945, -122.05727 37.69388, -122.07168 37.69087, -122.0888 37.69068, -122.10362 37.69402, -122.05445 37.6945, -122.065 37.69222, -122.08007 37.69072, -122.09627 37.69047, -122.10845 37.69945, -122.05727 37.69388, -122.07213 37.69083, -122.08757 37.6907, -122.10362 37.69402, -122.05462 37.69443, -122.06478 37.69228, -122.0796 37.69072, -122.09565 37.6905, -122.10765 37.69858, -122.05682 37.69388, -122.07147 37.69088, -122.08697 37.6907, -122.10318 37.69353, -122.05462 37.69443, -122.06455 37.69235, -122.0783 37.69073, -122.09565 37.6905, -122.1078 37.69875, -122.05617 37.69388, -122.07168 37.69087, -122.08697 37.6907, -122.10282 37.69315, -122.05453 37.69448, -122.06362 37.69262, -122.07878 37.69073, -122.09627 37.69047, -122.10765 37.69858, -122.05703 37.69388, -122.07033 37.691, -122.08598 37.69068, -122.10333 37.6937, -122.05453 37.69448, -122.06395 37.69252, -122.07983 37.69072, -122.09565 37.6905, -122.1078 37.69875, -122.05593 37.69388, -122.07168 37.69087, -122.08697 37.6907, -122.10318 37.69353, -122.05453 37.69448, -122.06362 37.69262, -122.0783 37.69073, -122.09565 37.6905, -122.10765 37.69858, -122.0808 37.69072, -122.0968 37.69045, -122.1089 37.69987, -122.05772 37.69387, -122.07308 37.6908, -122.08905 37.69068, -122.10362 37.69402, -122.05442 37.6945, -122.06567 37.69203, -122.0808 37.69072, -122.0968 37.69045, -122.10905 37.70002, -122.0917 37.69067, -122.106 37.69667, -122.05425 37.694, -122.0681 37.69138, -122.08423 37.69068, -122.1007 37.69145, -122.11042 37.70115, -122.06135 37.69325, -122.07617 37.69077, -122.0917 37.69067, -122.1054 37.69602, -122.05425 37.694, -122.06897 37.6912, -122.08423 37.69068, -122.1007 37.69145, -122.05473 37.6944, -122.06112 37.69332, -122.07688 37.69075, -122.09437 37.69057, -122.10672 37.69752, -122.05475 37.69388, -122.0701 37.69103, -122.08518 37.69068, -122.1013 37.6918, -122.05472 37.69442, -122.06112 37.69332, -122.07807 37.69073, -122.0941 37.69057, -122.1075 37.69842, -122.05565 37.69388, -122.06988 37.69107, -122.08648 37.69068, -122.1022 37.69252, -122.05473 37.69442, -122.0631 37.69277, -122.07807 37.69073, -122.0941 37.69057, -122.1075 37.69842, -122.05545 37.69388, -122.06965 37.6911, -122.08495 37.6907, -122.10297 37.69332, -122.05462 37.69443, -122.06455 37.69235, -122.07937 37.69072, -122.09515 37.69052, -122.108 37.69898, -122.05617 37.69388, -122.0709 37.69093, -122.08757 37.6907, -122.10282 37.69315, -122.05442 37.6945, -122.06395 37.69252, -122.07913 37.69073, -122.09653 37.69047, -122.1078 37.69875, -122.05748 37.69387, -122.0719 37.69085, -122.08757 37.6907, -122.10375 37.69418, -122.05445 37.6945, -122.06395 37.69252, -122.08032 37.69072, -122.09627 37.69047, -122.10862 37.69958, -122.05727 37.69388, -122.0719 37.69085, -122.0888 37.69068, -122.10362 37.69402, -122.05433 37.69452, -122.05795 37.69385, -122.08055 37.69072, -122.05795 37.69385, -122.10877 37.69973, -122.05772 37.69387, -122.07308 37.6908, -122.0888 37.69068, -122.10435 37.69485, -122.05435 37.69452, -122.06523 37.69217, -122.08153 37.69072, -122.09785 37.69055, -122.10933 37.70027, -122.05843 37.6938, -122.07285 37.6908, -122.0888 37.69068, -122.10362 37.69402, -122.05435 37.69452, -122.06633 37.69185, -122.08105 37.69072, -122.0986 37.69068, -122.10933 37.70027, -122.05818 37.69383, -122.07403 37.69078, -122.08952 37.69068, -122.10482 37.69537, -122.05427 37.6945, -122.06722 37.6916, -122.08277 37.6907, -122.0986 37.69068, -122.1092 37.70013, -122.05818 37.69383, -122.07262 37.69082, -122.09087 37.69068, -122.10482 37.69537, -122.0541 37.69428, -122.06722 37.6916, -122.08202 37.6907, -122.10005 37.69115, -122.10973 37.70063, -122.06048 37.69348, -122.07545 37.69077, -122.09112 37.69068, -122.10585 37.69652, -122.0541 37.69422, -122.06722 37.6916, -122.08375 37.69068, -122.10005 37.69115, -122.05472 37.6944, -122.06092 37.69338, -122.0752 37.69078, -122.09252 37.69063, -122.10555 37.69618, -122.05447 37.6939, -122.06853 37.69128, -122.08375 37.69068, -122.1011 37.69168, -122.11042 37.70115, -122.06178 37.69313, -122.07617 37.69077, -122.09227 37.69065, -122.10642 37.69718, -122.05425 37.694, -122.06853 37.69128, -122.08495 37.6907, -122.1011 37.69168, -122.11042 37.70115, -122.06157 37.69318, -122.0764 37.69077, -122.09385 37.69058, -122.10642 37.69718, -122.05435 37.69393, -122.06942 37.69113, -122.08473 37.69068, -122.10187 37.69222, -122.05473 37.69442, -122.06157 37.69318, -122.35638 37.75674, -122.35628 37.75667, -122.3564 37.75675)"
1,10-20kt,0-100m,"LINESTRING (-121.90111 38.048, -121.9047 38.04778, -121.90779 38.04763, -121.91142 38.04753, -121.91495 38.04769, -121.91855 38.04793, -121.92211 38.04835, -121.92546 38.049, -121.92877 38.0498, -121.93209 38.05054000000001, -121.93564 38.05103, -121.93922 38.0513, -121.94285 38.0517, -121.94643 38.05231, -121.94947 38.05298, -121.95302 38.05375, -121.95654 38.05431, -121.96007 38.05498, -121.96371 38.05565, -121.96726 38.05616, -121.97092 38.05649, -121.97413 38.05676, -121.9778 38.05708, -121.98142 38.05733, -121.98502 38.05765, -121.98876 38.05789, -121.99195 38.05818, -121.99575 38.05862, -121.99944 38.05891, -122.00317 38.05922, -122.00695 38.05954000000001, -122.01065 38.05977, -122.0143 38.05994, -122.01806 38.06023, -122.02169 38.06064, -122.02487 38.06107, -122.02863 38.06134, -122.03251 38.06114, -122.03631 38.06065, -122.04008 38.06028, -122.04379 38.06010999999999, -122.04769 38.06009, -122.0515 38.05993, -122.05535 38.05954000000001, -122.05858 38.05903, -122.06224 38.05816, -122.06584 38.05712, -122.0691 38.05627, -122.07273 38.05532, -122.07637 38.05427, -122.07951 38.05342, -122.08328 38.05249, -122.08664 38.05162, -122.08944 38.05077, -122.0918 38.04994, -122.09413 38.04922, -122.09649 38.04855, -122.09888 38.04779, -122.10122 38.04688, -122.10338 38.04597, -122.10552 38.04509, -122.10754 38.04424, -122.10963 38.04338, -122.11233 38.04223, -122.11543 38.04101, -122.11872 38.03957, -122.12176 38.03824, -122.12526 38.03698, -122.12842 38.03593, -122.13168 38.03489, -122.13542 38.03378, -122.13944 38.03269, -122.14337 38.03191, -122.14749 38.03166, -122.15166 38.03189, -122.15526 38.03241, -122.15921 38.03334, -122.16317 38.03447, -122.16683 38.03585, -122.17005 38.03798, -122.17276 38.04055, -122.17532 38.04333, -122.17772 38.04609, -122.18043 38.04873, -122.18335 38.05115, -122.18654 38.05337, -122.1903 38.05505, -122.19435 38.05612, -122.19866 38.05663, -122.20293 38.05714, -122.20676 38.05772, -122.21119 38.05848, -122.21497 38.05887, -122.2194 38.05918, -122.22389 38.0595, -122.22774 38.05979, -122.23234 38.06021, -122.23676 38.06066, -122.24119 38.0608, -122.24581 38.0607, -122.25011 38.0605, -122.25445 38.05997, -122.25815 38.05917, -122.26255 38.05818, -122.26684 38.0574, -122.27063 38.05679, -122.27487 38.05593, -122.27916 38.05491, -122.28328 38.05396, -122.2876 38.0531, -122.29185 38.05238, -122.29552 38.05178, -122.29958 38.05104, -122.30314 38.05032, -122.30733 38.04940999999999, -122.31139 38.04859, -122.3155 38.0477, -122.31946 38.04659, -122.32336 38.04533, -122.32679 38.04423, -122.33067 38.04296, -122.33448 38.0414, -122.33821 38.03962, -122.34197 38.03797, -122.3458 38.03649, -122.34912 38.03521, -122.35302 38.03363, -122.35676 38.03196, -122.36039 38.03007, -122.36385 38.02806, -122.36741 38.02603, -122.37103 38.02407, -122.37455 38.02221, -122.3781 38.02015, -122.38133 38.01802, -122.38423 38.01616, -122.38773 38.01402, -122.39073 38.01218, -122.39413 38.01001, -122.39732 38.00762, -122.40035 38.00494, -122.40326 38.00227, -122.40578 38.00006, -122.40845 37.99781, -122.41101 37.99562, -122.41344 37.99339000000001, -122.41574 37.99113, -122.41795 37.98884, -122.41996 37.98667, -122.4218 37.98465, -122.42348 37.9826, -122.42501 37.98045, -122.42624 37.97823, -122.42696 37.97656, -122.42747 37.97493, -122.42798 37.97320999999999, -122.42874 37.971, -122.42977 37.96811, -122.43061 37.96472, -122.43102 37.96111, -122.43143 37.95752, -122.43205 37.95402, -122.43262 37.95053, -122.43228 37.9471, -122.43122 37.94356, -122.42999 37.94013, -122.42855 37.93671, -122.42697 37.93335, -122.42536 37.92979, -122.42384 37.92638, -122.4223 37.92303, -122.42068 37.91961, -122.41934 37.91627, -122.41828 37.91305999999999, -122.41635 37.91038, -122.41364 37.90763, -122.41122 37.90485, -122.40936 37.9023, -122.40731 37.89934, -122.40539 37.89633, -122.40382 37.89374, -122.40209 37.89077, -122.40034 37.88772, -122.3986 37.88475, -122.39721 37.88168, -122.39623 37.87846, -122.39521 37.8754, -122.39401 37.87242, -122.39268 37.86962, -122.39143 37.86725, -122.39004 37.86439, -122.38872 37.86154000000001, -122.38735 37.8587, -122.38567 37.85582, -122.38382 37.85292, -122.38171 37.85023, -122.37921 37.84767, -122.37676 37.84515, -122.37428 37.8425, -122.37183 37.83998, -122.36916 37.8374, -122.36681 37.83485, -122.36446 37.83214, -122.36206 37.82956, -122.36021 37.82763, -122.35857 37.82584, -122.35657 37.82334, -122.3544 37.82071, -122.35261 37.81819, -122.35157 37.8153, -122.35222 37.8127, -122.35318 37.81069, -122.35417 37.80895, -122.35482 37.80666, -122.35502 37.80519, -122.35505 37.80468, -122.35498 37.80461, -122.35497 37.80461, -122.35487 37.80463, -122.35475 37.80458, -122.35477 37.80457, -122.35476 37.80458, -122.35481 37.80474, -122.35499 37.80534, -122.35479 37.80544, -122.35535 37.80432, -122.35698 37.80307, -122.35936 37.80237, -122.36214 37.80244, -122.36496 37.80287, -122.36813 37.80366, -122.37109 37.80501, -122.37353 37.80704, -122.37552 37.80917, -122.37752 37.81131, -122.37945 37.81367, -122.38142 37.81584, -122.3836 37.81805, -122.38582 37.8204, -122.38808 37.8225, -122.39048 37.82456, -122.39256 37.82684, -122.39452 37.82917, -122.3966 37.83104, -122.39799 37.83265, -122.39929 37.83461, -122.40027 37.83665, -122.401 37.83872, -122.40149 37.84087, -122.40205 37.84268, -122.40255 37.8448, -122.40304 37.84688, -122.40353 37.84901, -122.40362 37.85111, -122.40373 37.85299000000001, -122.40393 37.85507, -122.40418 37.85724, -122.40438 37.85943, -122.40447 37.86156, -122.40468 37.86368, -122.4051 37.86583, -122.40555 37.86763, -122.40624 37.86967, -122.40695 37.87177, -122.40784 37.87377, -122.4086 37.8758, -122.40969 37.87786, -122.41066 37.87968, -122.41136 37.88196, -122.41231 37.88413, -122.41256 37.8864, -122.41291 37.88863, -122.41378 37.89075, -122.41461 37.89259000000001, -122.41604 37.89463, -122.41732 37.89674, -122.41847 37.89892, -122.41961 37.90114000000001, -122.42092 37.90328, -122.42242 37.90534, -122.42394 37.90726, -122.42579 37.90904, -122.42776 37.91061, -122.42964 37.91226, -122.43166 37.91394, -122.43377 37.91540999999999, -122.4356 37.91708, -122.43771 37.91852, -122.43925 37.92021, -122.44082 37.92203, -122.44209 37.92386, -122.44337 37.92578, -122.44425 37.92775, -122.44476 37.92979, -122.44493 37.93185, -122.44473 37.93395, -122.44468 37.93611, -122.44473 37.93829, -122.44473 37.94018, -122.44458 37.94242, -122.44468 37.94472, -122.44449 37.947, -122.44437 37.94934, -122.44436 37.95178, -122.4442 37.95383, -122.444 37.95618, -122.44382 37.95857, -122.44366 37.96071, -122.44335 37.96319, -122.44266 37.96563, -122.44133 37.96804, -122.43944 37.97013, -122.4373 37.97218, -122.43542 37.97422, -122.43326 37.97617, -122.43113 37.97809, -122.42899 37.98002, -122.42686 37.98193, -122.42485 37.98396, -122.42304 37.98601, -122.42129 37.98771, -122.4195 37.98978, -122.41757 37.9918, -122.41566 37.99383, -122.41399 37.99553, -122.41194 37.99743, -122.40992 37.9994, -122.40789 38.0013, -122.40563 38.00313, -122.4033 38.00492, -122.40102 38.00672, -122.39876 38.00846, -122.39611 38.00999, -122.39372 38.01158, -122.3914 38.01277, -122.38886 38.01438, -122.38615 38.0159, -122.38339 38.01724, -122.38059 38.01852, -122.37767 38.01969, -122.37507 38.02129, -122.37234 38.02262, -122.36978 38.02362, -122.36715 38.02514, -122.36483 38.0264, -122.36194 38.02751, -122.3594 38.02909, -122.35671 38.03043, -122.3543 38.0313, -122.35201 38.03286, -122.34939 38.03399, -122.34671 38.03505, -122.34402 38.03607, -122.34137 38.03720999999999, -122.33875 38.03833, -122.33613 38.03917, -122.33346 38.04014, -122.33067 38.04094, -122.32814 38.04182, -122.32594 38.0426, -122.32333 38.04344, -122.32072 38.04433, -122.31812 38.04524, -122.31594 38.04612, -122.31347 38.04708, -122.31088 38.04786, -122.30835 38.04873, -122.30603 38.04926, -122.30348 38.05007, -122.30075 38.05062, -122.29853 38.05142, -122.29594 38.05177, -122.29323 38.05236, -122.2908 38.05298, -122.28809 38.05375, -122.2852 38.05439000000001, -122.28239 38.05512, -122.27988 38.05556, -122.27693 38.05618, -122.27405 38.0567, -122.27148 38.05718, -122.26856 38.05769, -122.26562 38.05831, -122.2626 38.05863, -122.25959 38.05891, -122.25655 38.05915, -122.25351 38.05942, -122.25062 38.05965, -122.24811 38.05984, -122.24525 38.06013, -122.24241 38.06025, -122.23958 38.06013, -122.23668 38.05994, -122.23378 38.05963, -122.23094 38.05939, -122.22802 38.05925999999999, -122.22511 38.05924, -122.22199 38.05902, -122.21893 38.05879, -122.21598 38.0585, -122.21307 38.05821, -122.21013 38.05785, -122.20717 38.05748, -122.20429 38.05705, -122.2017 38.05667, -122.19872 38.05596, -122.19577 38.05531, -122.19272 38.05473, -122.18997 38.05429, -122.18753 38.05293, -122.18508 38.05136, -122.18267 38.04968, -122.1802 38.04807, -122.17798 38.04624, -122.1759 38.04424, -122.17373 38.04237, -122.17161 38.04038, -122.16987 38.03863, -122.16773 38.0366, -122.16559 38.03464, -122.16361 38.033, -122.16062 38.03197, -122.15735 38.03155, -122.15452 38.03118, -122.15117 38.03095, -122.14799 38.03055999999999, -122.14489 38.03048, -122.14186 38.03094, -122.1388 38.03136, -122.13596 38.03199, -122.1333 38.03311, -122.13049 38.03433, -122.12757 38.03558, -122.12469 38.03687, -122.1217 38.03822, -122.11878 38.03959, -122.11578 38.04104, -122.11268 38.04224, -122.10969 38.04356, -122.10658 38.04482, -122.10341 38.04595, -122.10029 38.04707, -122.0971 38.04818, -122.09398 38.04927, -122.09079 38.05033, -122.08804 38.05123, -122.08475 38.05231, -122.08151 38.05344, -122.07817 38.05410999999999, -122.07476 38.05475, -122.07189 38.0554, -122.06851 38.05602, -122.06528 38.05673, -122.0622 38.05759, -122.0595 38.05840999999999, -122.05637 38.05921, -122.05368 38.05991, -122.05048 38.06029, -122.04716 38.06046, -122.04384 38.06056, -122.04061 38.06062, -122.03732 38.06074, -122.034 38.06091, -122.03059 38.06115, -122.02713 38.06123, -122.02371 38.06107, -122.0202 38.06082, -122.01668 38.0605, -122.01331 38.06015, -122.01 38.05983, -122.00661 38.05942, -122.00325 38.0591, -122 38.05863, -121.99656 38.05839, -121.99319 38.05837, -121.98971 38.05848, -121.98635 38.05849, -121.98291 38.05854, -121.97952 38.05856, -121.97607 38.05859, -121.97267 38.05854, -121.96923 38.05839, -121.96609 38.05825, -121.96354 38.05794, -121.96067 38.0575, -121.95788 38.05678, -121.95498 38.05604, -121.95185 38.05524, -121.94874 38.05451, -121.94562 38.05353, -121.9425 38.05257, -121.93929 38.05173, -121.9361 38.05083, -121.93289 38.05008, -121.92947 38.04963, -121.92654 38.04927, -121.92313 38.04891, -121.9196 38.04857, -121.91615 38.04848, -121.91262 38.04835, -121.90912 38.04841, -121.90611 38.04841, -121.90263 38.04864)"
